title,id,link,totalTime,cookTIme,description,imageLink,weatherTempTag,weatherConditionTag
Slow Cooker Savory Pot Roast,27270,http://www.campbellskitchen.com/recipes/slow-cooker-savory-pot-roast-27270,370,360,"Slow cooking this tender pot roast with some flavorful vegetables and a few on-hand ingredients yields mouthwatering results. Put it together in the morning, and when it's time for dinner, it's done!",http://www.campbellskitchen.com/recipeimages/slow-cooker-savory-pot-roast-large-27270.jpg,,
Beef Stroganoff,50681,http://www.campbellskitchen.com/recipes/beef-stroganoff-50681,45,25,"Always a family favorite, this classic dish of quickly sawtayed beef and onion in a creamy mushroom sauce is perfect over hot cooked noodles.",http://www.campbellskitchen.com/recipeimages/beef-stroganoff-large-50681.jpg,,
Shepherd's Pie,50380,http://www.campbellskitchen.com/recipes/shepherd's-pie-50380,35,15,"It takes less than 45 minutes to make this delicious pub favorite, right in your own kitchen. Cream of mushroom soup and instant mashed potatoes make it quick and easy!",http://www.campbellskitchen.com/recipeimages/shepherd's-pie-large-50380.jpg,,
Tater Topped Casserole,50832,http://www.campbellskitchen.com/recipes/tater-topped-casserole-50382,35,25,Hungry guests clamor for more when you serve this well-loved old-fashioned potato-topped casserole.,http://www.campbellskitchen.com/recipeimages/tater-topped-casserole-large-50382.jpg,,
Slow Cooker Hearty Beef Stew,25655,http://www.campbellskitchen.com/recipes/slow-cooker-hearty-beef-stew-25655,635,615,"Colorful, hearty and tender, this slow-cooked stew features all the traditional ingredients of a good beef stew: beef, carrots, onion, potatoes, peas in a rich gravy.",http://www.campbellskitchen.com/recipeimages/slow-cooker-hearty-beef-stew-large-25655.jpg,,
Slow Cooker Creamy Beef Stroganoff,50426,http://www.campbellskitchen.com/recipes/slow-cooker-creamy-beef-stroganoff-50426,500,480,Your slow cooker gets the job done with this savory stroganoff recipe featuring fork-tender beef in a creamy mushroom sauce. Prep it in the morning before work and you'll come home ready to serve a delicious dish the whole family will enjoy!,http://www.campbellskitchen.com/recipeimages/slow-cooker-creamy-beef-stroganoff-large-50426.jpg,,
Best Ever Meatloaf,24368,http://www.campbellskitchen.com/recipes/best-ever-meatloaf-24368,100,90,This moist and delicious meatloaf gets exceptional flavor from dry onion soup and a can of tomato soup. It's easy and tasty!,http://www.campbellskitchen.com/recipeimages/best-ever-meatloaf-large-24368.jpg,,
Simple Salisbury Steak,25529,http://www.campbellskitchen.com/recipes/simple-salisbury-steak-25529,35,20,Ground beef combines with a few on-hand ingredients resulting in a scrumptious meal that's on the table in just 35 minutes. This is one recipe that's definitely a keeper!,http://www.campbellskitchen.com/recipeimages/simple-salisbury-steak-large-25529.jpg,,
Spicy Beef Quesadilla,904109,http://www.campbellskitchen.com/recipes/spicy-beef-quesadilla-904109,10,5,"A slow-cooked batch of shredded beef made with Campbell's Shredded Beef Taco Slow Cooker Sauce becomes the filling for this hearty quesadilla.  Enclose the beef with some Cheddar cheese in a warm flour tortilla and pop in the skillet to make a simple quesadilla that's chock-full of flavor. Serve it with some favorite accompaniments like salsa, halapainyo pepper and diced red onion.",http://www.campbellskitchen.com/recipeimages/spicy-beef-quesadilla-large-904109.jpg,,
Easy Pepper Steak,23853,http://www.campbellskitchen.com/recipes/easy-pepper-steak-23853,30,15,"Beef broth is the ingredient that makes this tasty stir-fry so rich and flavorful.  Plus, it's on the table in just 30 minutes.",http://www.campbellskitchen.com/recipeimages/easy-pepper-steak-large-23853.jpg,,
