title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
One Dish Chicken & Rice Bake,24702,http://www.campbellskitchen.com/recipes/one-dish-chicken-rice-bake-24702,60,55,It doesn't get much easier than this. Chicken and rice bake together in a creamy mushroom sauce for a one-dish winner the whole family will enjoy!,http://www.campbellskitchen.com/recipeimages/one-dish-chicken-rice-bake-large-24702.jpg,,
Mini Chicken Pot Pies,61701,http://www.campbellskitchen.com/recipes/mini-chicken-pot-pies-61701,40,20,35 minutes is all you need to have these delicious mini pot pies on the table. Refrigerated biscuits form the crust for a flavorful chicken mixture and are baked to golden perfection. They're so good you'll want to make them again and again!,http://www.campbellskitchen.com/recipeimages/mini-chicken-pot-pies-large-61701.jpg,,
Cheesy Chicken & Rice Casserole,27173,http://www.campbellskitchen.com/recipes/cheesy-chicken-rice-casserole-27173,75,60,"This one-dish wonder features moist, tender chicken breasts covered with melted Cheddar cheese, sitting on a bed of creamy rice and vegetables. It just doesn't get any better!",http://www.campbellskitchen.com/recipeimages/cheesy-chicken-rice-casserole-large-27173.jpg,,
Chicken Broccoli Divan,24320,http://www.campbellskitchen.com/recipes/chicken-broccoli-divan-24320,30,20,"Chicken, broccoli and cheese make a winning combination in this mouthwatering casserole that bakes in just 20 minutes.",http://www.campbellskitchen.com/recipeimages/chicken-broccoli-divan-large-24320.jpg,,
Easy Chicken Pot Pie,50701,http://www.campbellskitchen.com/recipes/easy-chicken-pot-pie-50701,40,30,"Cream of chicken soup, frozen veggies, chicken and a biscuit crust put the easy in this delectable chicken pot pie that bakes in only 30 minutes!  It's so tasty, it just might become your go-to recipe.",http://www.campbellskitchen.com/recipeimages/easy-chicken-pot-pie-large-50701.jpg,,
"Slow Cooker Chicken, Broccoli & Rice",25994,"http://www.campbellskitchen.com/recipes/slow-cooker-chicken,-broccoli-rice-25994",385,365,"Creamy rice, tender chicken and vegetables highlight this delicious slow-cooked dish that can be prepped in the morning before work. Give it a try, it's sure to win over your crowd!","http://www.campbellskitchen.com/recipeimages/slow-cooker-chicken,-broccoli-large-rice-25994.jpg",,
Picante Chicken Enchiladas,50800,http://www.campbellskitchen.com/recipes/picante-chicken-enchiladas-50800,50,40,"Who wouldn't love these enchiladas? They've got chicken, cheese and picante sauce, all wrapped up in a tortilla and baked until the cheese is melted and the filling is hot. Yum!",http://www.campbellskitchen.com/recipeimages/picante-chicken-enchiladas-large-50800.jpg,,
Easy Chicken & Cheese Enchiladas,50780,http://www.campbellskitchen.com/recipes/easy-chicken-cheese-enchiladas-50780,55,40,"Looking for a creative way to use leftover chicken? These kicked-up, easy-to-prepare enchiladas come out of the oven hot and bubbly for a flavorful dish the whole family will love.",http://www.campbellskitchen.com/recipeimages/easy-chicken-cheese-enchiladas-large-50780.jpg,,
Quick Creamy Chicken & Noodles,24548,http://www.campbellskitchen.com/recipes/quick-creamy-chicken-noodles-24548,25,10,"Cream of chicken and mushroom soups combines with chicken, noodles and Parmesan cheese to make a delicious, family-friendly dinner in just 25 minutes.",http://www.campbellskitchen.com/recipeimages/quick-creamy-chicken-noodles-large-24548.jpg,,
Slow Cooker Chicken & Dumplings,26224,http://www.campbellskitchen.com/recipes/slow-cooker-chicken-dumplings-26224,470,450,"The slow cooker simmers chicken, potatoes, carrots, and celery in a creamy sauce, topped with tender dumplings made easy and delicious with baking mix.",http://www.campbellskitchen.com/recipeimages/slow-cooker-chicken-dumplings-large-26224.jpg,,
