title,id,link,totalTime,cookTIme,description,imageLink,weatherTempTag,weatherConditionTag
Tuna Noodle Casserole,24254,http://www.campbellskitchen.com/recipes/tuna-noodle-casserole-24254,45,25,"This comforting and reliable classic features tuna, egg noodles, cream of mushroom soup and peas, topped with a crunchy bread crumb topping. it's just delicious!",http://www.campbellskitchen.com/recipeimages/tuna-noodle-casserole-large-24254.jpg,,
Hearty Chicken & Noodle Casserole,50682,http://www.campbellskitchen.com/recipes/hearty-chicken-noodle-casserole-50682,45,25,"This comforting and delicious casserole features chicken, veggies, noodles and lots of cheese. You can make the entire dish in less than an hour, and when dinner is served, everyone will be happy.",http://www.campbellskitchen.com/recipeimages/hearty-chicken-noodle-casserole-large-50682.jpg,,
Quick Creamy Chicken & Noodles,24548,http://www.campbellskitchen.com/recipes/quick-creamy-chicken-noodles-24548,25,10,"Cream of chicken and mushroom soups combines with chicken, noodles and Parmesan cheese to make a delicious, family-friendly dinner in just 25 minutes.",http://www.campbellskitchen.com/recipeimages/quick-creamy-chicken-noodles-large-24548.jpg,,
Chicken Alfredo,62233,http://www.campbellskitchen.com/recipes/chicken-alfredo-62233,35,15,"Seasoned, sautéed boneless chicken breast strips and fettuccine are bathed in a savory garlic and Parmesan Alfredo sauce. The result is a mouth-watering dish that can't be beat!",http://www.campbellskitchen.com/recipeimages/chicken-alfredo-large-62233.jpg,,
Slow Cooker Creamy Beef Stroganoff,50426,http://www.campbellskitchen.com/recipes/slow-cooker-creamy-beef-stroganoff-50426,500,480,Your slow cooker gets the job done with this savory stroganoff recipe featuring fork-tender beef in a creamy mushroom sauce. Prep it in the morning before work and you'll come home ready to serve a delicious dish the whole family will enjoy!,http://www.campbellskitchen.com/recipeimages/slow-cooker-creamy-beef-stroganoff-large-50426.jpg,,
Chicken & Broccoli Alfredo,50320,http://www.campbellskitchen.com/recipes/chicken-broccoli-alfredo-50320,500,20,"In just 30 minutes, you can serve this delectable dish, with a rich, satiny Alfredo sauce that coats chicken, broccoli and pasta.",http://www.campbellskitchen.com/recipeimages/chicken-broccoli-alfredo-large-50320.jpg,,
Chicken Tetrazzini,60308,http://www.campbellskitchen.com/recipes/chicken-tetrazzini-60308,30,5,"It takes just 25 minutes to make this luscious pasta dish featuring chicken, Parmesan cheese and a creamy mushroom sauce.",http://www.campbellskitchen.com/recipeimages/chicken-tetrazzini-large-60308.jpg,,
Creamy Pesto Chicken & Bow Ties,25232,http://www.campbellskitchen.com/recipes/creamy-pesto-chicken-bow-ties-25232,40,20,"On-hand ingredients like cream of chicken soup, pasta and prepared pesto sauce combine with chicken to make a mouthwatering dinner that's on the table in 40 minutes.",http://www.campbellskitchen.com/recipeimages/creamy-pesto-chicken-bow-ties-large-25232.jpg,,
Baked Macaroni & Cheese,24407,http://www.campbellskitchen.com/recipes/baked-macaroni-cheese-24407,40,20,"This extra-easy version of a classic casserole is homey, cheesy and topped with crunchy bread crumbs to make it even better.",http://www.campbellskitchen.com/recipeimages/baked-macaroni-cheese-large-24407.jpg,,
Speedy Sausage Rigatoni,61895,http://www.campbellskitchen.com/recipes/speedy-sausage-rigatoni-61895,30,15,Just 4 ingredients combine for a simple skillet dish that's loaded with fabulous flavor. Sautéed sweet Italian sausage and sliced zucchini combine with portobello mushroom soup and cooked pasta for a delicious meal that's an absolute winner!,http://www.campbellskitchen.com/recipeimages/speedy-sausage-rigatoni-large-61895.jpg,,
Slow Cooker Golden Chicken with Noodles,25329,http://www.campbellskitchen.com/recipes/slow-cooker-golden-chicken-with-noodles-25329,430,420,"Since this delightful chicken dish cooks itself in the slow cooker, it's perfect for any time of year.  It's a family-favorite that you'll make time and again.",http://www.campbellskitchen.com/recipeimages/slow-cooker-golden-chicken-with-noodles-large-25329.jpg,,
Easy Chicken Stroganoff,24443,http://www.campbellskitchen.com/recipes/easy-chicken-stroganoff-24443,45,25,This one-skillet chicken dish features a creamy mushroom sauce and a whole lot of flavor.  It's comfort food that's ready to serve in just 45 minutes.,http://www.campbellskitchen.com/recipeimages/easy-chicken-stroganoff-large-24443.jpg,,
Family Spaghetti Pie,24729,http://www.campbellskitchen.com/recipes/family-spaghetti-pie-24729,60,35,"Tender spaghetti forms a crust that's filled with a kicked-up, beef-mushroom-tomato sauce and lots of cheese in this creative main-dish pie.",http://www.campbellskitchen.com/recipeimages/family-spaghetti-pie-large-24729.jpg,,
Slow Cooker Spaghetti Bolognese,50454,http://www.campbellskitchen.com/recipes/slow-cooker-spaghetti-bolognese-50454,260,240,Using the slow cooker is a great way to infuse flavor into this easy-to-make meat sauce. It makes a great topping for spaghetti or your favorite pasta shape.,http://www.campbellskitchen.com/recipeimages/slow-cooker-spaghetti-bolognese-large-50454.jpg,,
Baked Ziti,25342,http://www.campbellskitchen.com/recipes/baked-ziti-25342,55,30,"Short tube-shaped pasta tossed with seasoned tomato sauce, mozzarella and Parmesan cheeses is baked in a casserole until bubbling.",http://www.campbellskitchen.com/recipeimages/baked-ziti-large-25342.jpg,,
Simple Chicken Florentine Alfredo with Fettuccine,61374,http://www.campbellskitchen.com/recipes/simple-chicken-florentine-alfredo-with-fettuccine-61374,35,15,"This easy-to-make, delicious pasta dish is ready in just 35 minutes! Tender chicken is coated in a rich, creamy Alfredo sauce and brightened with the addition of fresh baby spinach. Toss with fettuccine, and you've got a hearty meal that is guaranteed to please.",http://www.campbellskitchen.com/recipeimages/simple-chicken-florentine-alfredo-with-fettuccine-large-61374.jpg,,
3-Cheese Pasta Bake,25195,http://www.campbellskitchen.com/recipes/3-cheese-pasta-bake-25195,40,20,"This mouthwatering version of baked macaroni and cheese is ready in just 40 minutes and features our ""secret ingredient"" cream of mushroom soup. Try it as a side dish too!",http://www.campbellskitchen.com/recipeimages/3-cheese-pasta-bake-large-25195.jpg,,
Three Cheese & Spicy Sausage Baked Rigatoni,61255,http://www.campbellskitchen.com/recipes/three-cheese-spicy-sausage-baked-rigatoni-61255,55,40,"Rigatoni, sawtayed onion and three cheeses are mixed together with a jarred spicy Italian sauce that comes out of the oven hot and bubbly, and absolutely delicious!",http://www.campbellskitchen.com/recipeimages/three-cheese-spicy-sausage-baked-rigatoni-large-61255.jpg,,
Easy Chicken and Pasta,24379,http://www.campbellskitchen.com/recipes/easy-chicken-and-pasta-24739,30,25,"Chicken, vegetables and pasta simmer together in a creamy mushroom sauce, touched with basil, for a carefree skillet supper.",http://www.campbellskitchen.com/recipeimages/easy-chicken-and-pasta-large-24739.jpg,,
Farfalle and Tuna Casserole,61364,http://www.campbellskitchen.com/recipes/farfalle-and-tuna-casserole-61364,50,30,"This scrumptious casserole features tuna, pasta, sun-dried tomatoes and a creamy Alfredo sauce. Ready in less than 1 hour, it's sure to become a family favorite.",http://www.campbellskitchen.com/recipeimages/farfalle-and-tuna-casserole-large-61364.jpg,,
One-Dish Creamy Beef & Noodles,23849,http://www.campbellskitchen.com/recipes/one-dish-creamy-beef-noodles-23849,35,25,"Streamlined in method but not in taste, beef broth gives this sawtayed beef and mushroom recipe full, hearty flavor. Plus the noodles cook right in the broth!",http://www.campbellskitchen.com/recipeimages/one-dish-creamy-beef-noodles-large-23849.jpg,no photo,
