title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Slow Cooker Pork Chops,25964,http://www.campbellskitchen.com/recipes/slow-cooker-pork-chops-25964,485,480,"If you've never had pork chops from a slow cooker before, this is the recipe to try. Just 5 ingredients, hardly any work, and you get tender and delicious results.",http://www.campbellskitchen.com/recipeimages/slow-cooker-pork-chops-large-25964.jpg,,
Creamy Ranch Pork Chops & Rice,25805,http://www.campbellskitchen.com/recipes/creamy-ranch-pork-chops-rice-25085,30,25,"Campbell's Condensed Cream of Mushroom Soup and ranch salad dressing combine to make a perfectly seasoned sauce to serve over golden, juicy pork chops and rice.",http://www.campbellskitchen.com/recipeimages/creamy-ranch-pork-chops-rice-large-25085.jpg,,
"Slow Cooker Kielbasa with Apples, Onions and Sauerkraut",50457,"http://www.campbellskitchen.com/recipes/slow-cooker-kielbasa-with-apples,-onions-and-sauerkraut-50457",255,240,"Try this easy-to-make recipe featuring spicy kielbasa, tangy sauerkraut and sweet apples.","http://www.campbellskitchen.com/recipeimages/slow-cooker-kielbasa-with-apples,-onions-and-sauerkraut-large-50457.jpg",,
Tasty 2-Step Pork Chops,24179,http://www.campbellskitchen.com/recipes/tasty-2-step-pork-chops-24179,25,20,"Here's a great-tasting, family-friendly dish that features sawtayed pork chops in a creamy mushroom sauce. And it's on the table in 25 minutes!",http://www.campbellskitchen.com/recipeimages/tasty-large-2-step-pork-chops-large-24179.jpg,,
Speedy Sausage Rigatoni,61895,http://www.campbellskitchen.com/recipes/speedy-sausage-rigatoni-61895,30,15,Just 4 ingredients combine for a simple skillet dish that's loaded with fabulous flavor. Sawtayed sweet Italian sausage and sliced zucchini combine with portobello mushroom soup and cooked pasta for a delicious meal that's an absolute winner!,http://www.campbellskitchen.com/recipeimages/speedy-sausage-rigatoni-large-61895.jpg,,
Pork Chops & Stuffing Bake,25622,http://www.campbellskitchen.com/recipes/pork-chops-stuffing-bake-25622,40,30,"This one-dish recipe couldn't be easier to make. And since it features juicy pork chops atop cornbread stuffing, it's sure to be a hit with your family too.",http://www.campbellskitchen.com/recipeimages/pork-chops-stuffing-bake-large-25622.jpg,,
Pork Chops and Mustard Onion Gravy,25774,http://www.campbellskitchen.com/recipes/pork-chops-and-mustard-onion-gravy-25774,35,25,"Sawtayed boneless pork chops are a great dinner option. Here, we add an easy to make mustard-onion gravy that adds terrific flavor to both the chops and the accompanying mashed potatoes.",http://www.campbellskitchen.com/recipeimages/pork-chops-and-mustard-onion-gravy-large-25774.jpg,,
Sweet Onion Pork Medallions,62044,http://www.campbellskitchen.com/recipes/sweet-onion-pork-medallions-62044,30,25,"Sawtayed pork medallions simmer in an irresistible sauce made with sweet onion soup, honey and Dee-zhawn-style mustard. Serve them with mashed potatoes for a restaurant quality meal that's guaranteed to impress.",http://www.campbellskitchen.com/recipeimages/sweet-onion-pork-medallions-large-62044.jpg,,
Three Cheese & Spicy Sausage Baked Rigatoni,61255,http://www.campbellskitchen.com/recipes/three-cheese-spicy-sausage-baked-rigatoni-61255,55,40,"Rigatoni, sawtayed onion and three cheeses are mixed together with a jarred spicy Italian sauce that comes out of the oven hot and bubbly, and absolutely delicious!",http://www.campbellskitchen.com/recipeimages/three-cheese-spicy-sausage-baked-rigatoni-large-61255.jpg,,
Country Scalloped Potatoes,50137,http://www.campbellskitchen.com/recipes/country-scalloped-potatoes-50137,95,80,"Ordinary scalloped potatoes become extraordinary when they're made with ham, onion and a creamy cheese sauce. They make an appetizing addition to just about any meal.",http://www.campbellskitchen.com/recipeimages/country-scalloped-potatoes-large-50137.jpg,,
Gumbo with Andouille Sausage,61841,http://www.campbellskitchen.com/recipes/gumbo-with-andouille-sausage-61841,85,60,"One taste of this fabulous gumbo and you'll think you're in New Orleans! The Cajun flavor infused broth adds incredible taste to the sausage, chicken and vegetables. Serve this at your next party for an impressive dish that's sure to be a hit with your guests!",http://www.campbellskitchen.com/recipeimages/gumbo-with-andouille-sausage-large-61841.jpg,,
Pennsylvania Dutch Ham & Noodle Casserole,50686,http://www.campbellskitchen.com/recipes/pennsylvania-dutch-ham-noodle-casserole-50686,25,15,"Sure to become a family favorite, this quick cooking casserole combines cubed cooked ham, noodles and tender onions blended with a creamy cheesy sauce.",http://www.campbellskitchen.com/recipeimages/pennsylvania-dutch-ham-noodle-casserole-large-50686.jpg,,
Pork Chop & Spanish Rice Bake,24929,http://www.campbellskitchen.com/recipes/pork-chop-spanish-rice-bake-24929,50,45,"It couldn't be easier to get an enjoyable dinner on the table. Simply combine the ingredients in a baking dish and pop the dish in the oven.  In less than an hour, you have a savory pork chop and rice dinner.",http://www.campbellskitchen.com/recipeimages/pork-chop-spanish-rice-bake-large-24929.jpg,,
Hot Sausage Casserole,26335,http://www.campbellskitchen.com/recipes/hot-sausage-casserole-26335,90,60,"This sausage and rice casserole is seasoned with onions, green peppers and a creamy sauce. When you're in the mood for something especially tasty, give this dish a try!",http://www.campbellskitchen.com/recipeimages/hot-sausage-casserole-large-26335.jpg,,
Sausage-Stuffed Green Peppers,26137,http://www.campbellskitchen.com/recipes/sausage-stuffed-green-peppers-26137,60,40,"A savory combination of sweet Italian sausage, onion, oregano, and mozzarella cheese is tucked into tender green peppers and topped with tomato sauce for an easy-to-make version of this hearty classic.",http://www.campbellskitchen.com/recipeimages/sausage-stuffed-green-peppers-large-26137.jpg,,
Slow-Cooked Pulled Pork Sandwiches,26160,http://www.campbellskitchen.com/recipes/slow-cooked-pulled-pork-sandwiches-26160,505,490,"These fabulous sandwiches feature pork shoulder that is slow-cooked in a scrumptious, sweet and tangy sauce to be served on sandwich buns.",http://www.campbellskitchen.com/recipeimages/slow-cooked-pulled-pork-sandwiches-large-26160.jpg,,
Hearty Sausage & Rice Casserole,27267,http://www.campbellskitchen.com/recipes/hearty-sausage-rice-casserole-27267,90,75,"Come in from the cold and enjoy this flavorful sausage, vegetable and rice casserole that's easy to put together and even better to eat!",http://www.campbellskitchen.com/recipeimages/hearty-sausage-rice-casserole-large-27267.jpg,,
Autumn Pork Chops,24164,http://www.campbellskitchen.com/recipes/autumn-pork-chops-24164,30,20,"We've created this delectable recipe for those nights when you need to get dinner on the table fast.  It features browned pork chops simmered in a tangy, sweet sauce that's been seasoned with mustard, apple juice and honey.",http://www.campbellskitchen.com/recipeimages/autumn-pork-chops-large-24164.jpg,,
Slow Cooker Jambalaya,50992,http://www.campbellskitchen.com/recipes/slow-cooker-jambalaya-50992,445,430,"This delectable, slow-cooked version of a traditional New Orleans-style dish features chicken, kielbasa and shrimp in a bed of rice that's been seasoned with Creole seasoning, green pepper, celery and diced tomato.",http://www.campbellskitchen.com/recipeimages/slow-cooker-jambalaya-large-50992.jpg,,
Slow-Cooked Apricot Glazed Pork Roast,25213,http://www.campbellskitchen.com/recipes/slow-cooked-apricot-glazed-pork-roast-25213,485,480,"Pork roast slow-cooks to tenderness under a tangy glaze of apricot preserves, mustard, and onion. This is a dish worth waiting for!",http://www.campbellskitchen.com/recipeimages/slow-cooked-apricot-glazed-pork-roast-large-25213.jpg,,
Orange Pork Tenderloins with Caramelized Onions,60757,http://www.campbellskitchen.com/recipes/orange-pork-tenderloins-with-caramelized-onions-60757,45,35,Sweet meets heat in this delectable skillet tenderloin that's ready to serve in just 45 minutes! Give it a try. It's really good!,http://www.campbellskitchen.com/recipeimages/orange-pork-tenderloins-with-caramelized-onions-large-60757.jpg,,
Slow Cooker Hearty Mixed Bean Stew with Sausage,27004,http://www.campbellskitchen.com/recipes/slow-cooker-hearty-mixed-bean-stew-with-sausage-27004,505,490,"Here's a hearty stew to feed a hungry crowd. It features a colorful array of beans simmering with sausage and chicken broth, that slow cooks for hours, leaving you free to enjoy the day.",http://www.campbellskitchen.com/recipeimages/slow-cooker-hearty-mixed-bean-stew-with-sausage-large-27004.jpg,,
Savory Sausage & Rice Skillet,25652,http://www.campbellskitchen.com/recipes/savory-sausage-rice-skillet-25652,75,60,"This one-skillet supper features all the mouthwatering flavors of sausage and peppers, served on a flavorful bed of brown and wild rice. Plus, clean-up is a breeze.",http://www.campbellskitchen.com/recipeimages/savory-sausage-rice-skillet-large-25652.jpg,,
Chicken Sausage with Farfalle Alfredo,62207,http://www.campbellskitchen.com/recipes/chicken-sausage-with-farfalle-alfredo-62207,45,25,"Farfalle pasta, chicken sausage, onion and tomatoes are tossed in a creamy basil pesto Alfredo sauce. The result is a fabulous dish that's guaranteed to be a real crowd-pleaser!",http://www.campbellskitchen.com/recipeimages/chicken-sausage-with-farfalle-alfredo-large-62207.jpg,,
Cheddar Penne with Sausage & Peppers,60553,http://www.campbellskitchen.com/recipes/cheddar-penne-with-sausage-peppers-60553,40,20,This simple skillet dish combines mac and cheese with sausage and peppers to make a family-favorite dish that's on the table in less than 45 minutes!,http://www.campbellskitchen.com/recipeimages/cheddar-penne-with-sausage-peppers-large-60553.jpg,,
