title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Quick Gumbo in Pastry Shells,50026,http://www.campbellskitchen.com/recipes/quick-gumbo-in-pastry-shells-50026,50,15,"Golden puff pastry shells are filled with a Louisiana-style gumbo made with chicken, shrimp, kielbasa, green and red peppers and cream of celery soup. This recipe has great taste and comfort written all over it!",http://www.campbellskitchen.com/recipeimages/quick-gumbo-in-pastry-shells-large-50026.jpg,,
Bacon and Clam White Pizza,50001,http://www.campbellskitchen.com/recipes/bacon-and-clam-white-pizza-50001,100,85,"This out-of-the-ordinary pizza combines bacon and clams to create a flavorful, herb-scented pizza in no time. But what makes it really good is the puff pastry crust. Yum!",http://www.campbellskitchen.com/recipeimages/bacon-and-clam-white-pizza-large-50001.jpg,,
Chorizo and Shrimp en Cro_te,50006,http://www.campbellskitchen.com/recipes/chorizo-and-shrimp-en-cro%C3%BBte-50006,55,20,"How about a little Gulf Coast flavor in a puff pastry shell? These shells, filled with a spicy sausage and shrimp mix, are special enough for company, but easy enough for everyday.",http://www.campbellskitchen.com/recipeimages/chorizo-and-shrimp-en-cro%C3%BBte-large-50006.jpg,,
"Roasted Corn, Tomato, Black Bean and Avocado Tarts",50049,"http://www.campbellskitchen.com/recipes/roasted-corn,-tomato,-black-bean-and-avocado-tarts-50049",55,20,"Refreshing and easy to make, this tasty recipe has it all. Individual puff pastry shells are filled with marinated shrimp and a kicked-up corn and bean salad.  It's a terrific summertime dish, that's delicious year-round.","http://www.campbellskitchen.com/recipeimages/roasted-corn,-tomato,-black-bean-and-avocado-tarts-large-50049.jpg",,
Creamy Shrimp & Corn Stew in Shells,50040,http://www.campbellskitchen.com/recipes/creamy-shrimp-corn-stew-in-shells-50040,55,20,"This dish is ready in under an hour, but it looks and tastes like it took much longer.  It features puff pastry shells filled with shrimp, shallots and corn in a kicked-up lemon cream sauce.",http://www.campbellskitchen.com/recipeimages/creamy-shrimp-corn-stew-in-shells-large-50040.jpg,,
Gumbo Casserole,50134,http://www.campbellskitchen.com/recipes/gumbo-casserole-50134,50,35,"Two comfort foods, gumbo and casserole, come together to make a tasty family favorite. Plus, it takes just 15 minutes to put together before you pop it in the oven. You don't even have to cook the rice beforehand.",http://www.campbellskitchen.com/recipeimages/gumbo-casserole-large-50134.jpg,,
Pesto Crab Cakes,50192,http://www.campbellskitchen.com/recipes/pesto-crab-cakes-50192,140,130,Cream of celery soup and prepared pesto strike just the right balance with lump crabmeat in these absolutely scrumptious crab cakes.,http://www.campbellskitchen.com/recipeimages/pesto-crab-cakes-large-50192.jpg,,
Halibut with Beans and Spinach,50196,http://www.campbellskitchen.com/recipes/halibut-with-beans-and-spinach-50196,25,15,"Tender halibut fillets are served on a delicious bed of seasoned spinach and great Northern beans to make a quick-cooking, restaurant-style dish.",http://www.campbellskitchen.com/recipeimages/halibut-with-beans-and-spinach-large-50196.jpg,,
Crab and Corn Chowder,50212,http://www.campbellskitchen.com/recipes/crab-and-corn-chowder-50212,50,35,"Just as good as the satisfying chowders you find in restaurants along the New England coast, this creamy chowder can easily be made at home in less than an hour. Why not whip some up right now?",http://www.campbellskitchen.com/recipeimages/crab-and-corn-chowder-large-50212.jpg,,
Easy One-Pot Spaghetti & Clams,50214,http://www.campbellskitchen.com/recipes/easy-one-pot-spaghetti-clams-50214,30,20,"One pot and 30 minutes is all it takes to serve a delicious meal featuring spaghetti and clams in a spicy garlic sauce. When you've got a hungry crowd to feed, this is the dish for you!",http://www.campbellskitchen.com/recipeimages/easy-one-pot-spaghetti-clams-large-50214.jpg,,
Mediterranean Fish Soup,50255,http://www.campbellskitchen.com/recipes/mediterranean-fish-soup-50255,30,20,"Mussels, halibut and shrimp flavored with chicken broth and white wine makes an outstanding fish soup that's ready from the start in 30 minutes.",http://www.campbellskitchen.com/recipeimages/mediterranean-fish-soup-large-50255.jpg,,
Roasted Asparagus & Shrimp Soup with Parmesan Cheese Croutons,50218,http://www.campbellskitchen.com/recipes/roasted-asparagus-shrimp-soup-with-parmesan-cheese-croutons-50218,60,45,"Roasting asparagus, tomatoes, onion and garlic in oil intensifies the flavors. Add the roasted vegetables to chicken broth with shrimp and top with Parmesan croutons to make a scrumptious soup.",http://www.campbellskitchen.com/recipeimages/roasted-asparagus-shrimp-soup-with-parmesan-cheese-croutons-large-50218.jpg,,
Chilled Shrimp Gazpacho,50261,http://www.campbellskitchen.com/recipes/chilled-shrimp-gazpacho-50261,195,180,"Shrimp, cantaloupe and balsamic vinegar make this gazpacho deliciously different. And it only takes 15 minutes to make! It's so refreshing, especially on a hot summer's day.",http://www.campbellskitchen.com/recipeimages/chilled-shrimp-gazpacho-large-50261.jpg,,
