title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Slow Cooker Chicken Tortilla Soup,50414,http://www.campbellskitchen.com/recipes/slow-cooker-chicken-tortilla-soup-50414,270,255,"This ultra-flavorful soup is worth the wait. The slow cooker makes it easy, and the savory combination of chicken, beans, corn and picante sauce makes it absolutely delicious!",http://www.campbellskitchen.com/recipeimages/slow-cooker-chicken-tortilla-soup-large-50414.jpg,,
Slow Cooker Hearty Beef Stew,25655,http://www.campbellskitchen.com/recipes/slow-cooker-hearty-beef-stew-25655,635,615,"Colorful, hearty and tender, this slow-cooked stew features all the traditional ingredients of a good beef stew: beef, carrots, onion, potatoes, peas in a rich gravy.",http://www.campbellskitchen.com/recipeimages/slow-cooker-hearty-beef-stew-large-25655.jpg,,
Loaded Potato Soup,61918,http://www.campbellskitchen.com/recipes/loaded-potato-soup-61918,65,40,"Everything you love about loaded baked potatoes can be found in a bowl of this homemade soup that everyone will enjoy. It's rich and creamy, and full of great flavor that is sure to make this soup a cold weather favorite!",http://www.campbellskitchen.com/recipeimages/loaded-potato-soup-large-61918.jpg,,
Slow Cooker Bacon Potato Chowder,50416,http://www.campbellskitchen.com/recipes/slow-cooker-bacon-potato-chowder-50416,195,180,"This hearty and flavorful soup is so easy to make. Simply mix the ingredients in a slow cooker and let it do the work for you. And to make it even better, stir in Cheddar just before serving and top with a sprinkle of chives.",http://www.campbellskitchen.com/recipeimages/slow-cooker-bacon-potato-chowder-large-50416.jpg,,
Sensational Chicken Noodle Soup,27286,http://www.campbellskitchen.com/recipes/sensational-chicken-noodle-soup-27286,35,25,"Sometimes you just want a good, old-fashioned chicken noodle soup. No fancy ingredients. Just great flavor.  Give this version a try. All you need is 6 ingredients and 35 minutes to make a home-style soup that you'll really enjoy.",http://www.campbellskitchen.com/recipeimages/sensational-chicken-noodle-soup-large-27286.jpg,,
White Chicken Chili,24911,http://www.campbellskitchen.com/recipes/white-chicken-chili-24911,40,30,"Campbell's Condensed Cream of Chicken Soup and dry onion soup and recipe mix combine to flavor this scrumptious chili featuring chicken, white kidney beans and chili powder, and served with shredded Cheddar cheese and sliced green onion.",http://www.campbellskitchen.com/recipeimages/white-chicken-chili-large-24911.jpg,,
Chicken & Corn Chowder,61892,http://www.campbellskitchen.com/recipes/chicken-corn-chowder-61892,25,20,"This comfort food classic is chock full of flavor and ready in 25 minutes. Cooked chicken, creamy herb and garlic soup, potatoes, corn, bacon and milk simmer together for incredible chowder that's an absolute winner!",http://www.campbellskitchen.com/recipeimages/chicken-corn-chowder-large-61892.jpg,,
Hearty Homemade Chicken Noodle Soup Express,25029,http://www.campbellskitchen.com/recipes/hearty-homemade-chicken-noodle-soup-express-25029,30,15,"There's nothing better than a good bowl of soup, like this quick-cooking and delicious chicken noodle soup, brimming with chicken, colorful vegetables and egg noodles.",http://www.campbellskitchen.com/recipeimages/hearty-homemade-chicken-noodle-soup-express-large-25029.jpg,,
Gumbo with Andouille Sausage,61841,http://www.campbellskitchen.com/recipes/gumbo-with-andouille-sausage-61841,85,60,"One taste of this fabulous gumbo and you'll think you're in New Orleans! The Cajun flavor infused broth adds incredible taste to the sausage, chicken and vegetables. Serve this at your next party for an impressive dish that's sure to be a hit with your guests!",http://www.campbellskitchen.com/recipeimages/gumbo-with-andouille-sausage-large-61841.jpg,,
Easy Chicken Chili with White Beans,60393,http://www.campbellskitchen.com/recipes/easy-chicken-chili-with-white-beans-60393,25,15,In the mood for chili? No problem. Because you can have this flavorful chicken chili on the table in less than a half hour. It only tastes like it's been simmering all day.,http://www.campbellskitchen.com/recipeimages/easy-chicken-chili-with-white-beans-large-60393.jpg,,
