title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Turkey Noodle Casserole,27348,http://www.campbellskitchen.com/recipes/turkey-noodle-casserole-27348,55,35,"This comforting casserole is similar to classic tuna noodle casserole, but it uses turkey instead. It's a flavorful way to use leftovers, or to satisfy those who don't like tuna.",http://www.campbellskitchen.com/recipeimages/turkey-noodle-casserole-large-27348.jpg,,
King Ranch Casserole,24786,http://www.campbellskitchen.com/recipes/king-ranch-casserole-24786,55,40,"This king of all casseroles gets a punch of great flavor from picante sauce, chili powder and green onions. It's a flavorful way to use leftover chicken or turkey that will have your family coming back for more!",http://www.campbellskitchen.com/recipeimages/king-ranch-casserole-large-24786.jpg,,
Turkey and Stuffing Casserole,50118,http://www.campbellskitchen.com/recipes/turkey-and-stuffing-casserole-50118,40,25,Here's a family-friendly dish that fits right into your busy schedule. It features convenience products that combine with cooked turkey or chicken to make a mouthwatering casserole that's ready in less than 45 minutes.,http://www.campbellskitchen.com/recipeimages/turkey-and-stuffing-casserole-large-50118.jpg,,
Turkey Broccoli Divan,27345,http://www.campbellskitchen.com/recipes/turkey-broccoli-divan-27345,30,20,"Our quick and easy recipe, featuring turkey, broccoli and just the right amount of Cheddar cheese makes for a divine dinner.",http://www.campbellskitchen.com/recipeimages/turkey-broccoli-divan-large-27345.jpg,,
Tempting Tetrazzini Casserole,24188,http://www.campbellskitchen.com/recipes/tempting-tetrazzini-casserole-24188,55,25,You've just got to try this unbelievably tasty way to use up leftover turkey or chicken.  This creamy casserole is easy to make and absolutely delicious!,http://www.campbellskitchen.com/recipeimages/tempting-tetrazzini-casserole-large-24188.jpg,,
Easy Turkey Pot Pie,27166,http://www.campbellskitchen.com/recipes/easy-turkey-pot-pie-27166,40,30,Roast poultry and vegetables are paired in a creamy sauce and topped with a golden biscuit crust.,http://www.campbellskitchen.com/recipeimages/easy-turkey-pot-pie-large-27166.jpg,,
French Onion Turkey Casserole,60932,http://www.campbellskitchen.com/recipes/french-onion-turkey-casserole-60932,80,60,"Use up your leftovers to make this savory bread pudding. It's so simple to make, and so tasty. You'll enjoy making it for brunches, light dinners, and anytime you're in the mood for really good food.",http://www.campbellskitchen.com/recipeimages/french-onion-turkey-casserole-large-60932.jpg,,
Baked Turkey & Noodles in Sour Cream Sauce,26710,http://www.campbellskitchen.com/recipes/baked-turkey-noodles-in-sour-cream-sauce-26710,40,25,"If you have leftover turkey or chicken, this recipe is the answer. It's ready in about 35 minutes and everyone will love it!",http://www.campbellskitchen.com/recipeimages/baked-turkey-noodles-in-sour-cream-sauce-large-26710.jpg,,
Easy Turkey & Biscuits,24247,http://www.campbellskitchen.com/recipes/easy-turkey-biscuits-24247,50,30,"Got some leftovers. Give them new life in this simple biscuit-topped oven dish, made with turkey, veggies and a creamy sauce.",http://www.campbellskitchen.com/recipeimages/easy-turkey-biscuits-large-24247.jpg,,
Turkey Enchiladas,24356,http://www.campbellskitchen.com/recipes/turkey-enchiladas-24356,45,25,"A great way to use any leftover cooked turkey, these enchiladas are sure to please your family for a busy weekday meal.",http://www.campbellskitchen.com/recipeimages/turkey-enchiladas-large-24356.jpg,,
