title,id,link,totalTime,cookTime,description,imageLink,weatherTempTag,weatherConditionTag
Classic Green Bean Casserole,24099,http://www.campbellskitchen.com/recipes/classic-green-bean-casserole-24099,40,30,"It's the dish everyone's expecting on the holidays, but it's so easy to make, you can serve it any day. What makes our green bean casserole so good?  A secret ingredient. Cream of mushroom soup.",http://www.campbellskitchen.com/recipeimages/classic-green-bean-casserole-large-24099.jpg,,
Broccoli Rice Casserole,26119,http://www.campbellskitchen.com/recipes/broccoli-rice-casserole-26119,50,30,What makes this quick-cooking side dish really tasty is coating the broccoli and rice in a creamy cheese sauce. Yum.,http://www.campbellskitchen.com/recipeimages/broccoli-rice-casserole-large-26119.jpg,,
Squash Casserole,24122,http://www.campbellskitchen.com/recipes/squash-casserole-24122,55,40,"This creamy, crowd-pleasing side dish features summer squash, carrots, stuffing mix and cheese baked in a creamy sauce. Crispy on top and creamy in the center, it's a winner on any menu.",http://www.campbellskitchen.com/recipeimages/squash-casserole-large-24122.jpg,,
Slow Cooker Scalloped Potatoes,50447,http://www.campbellskitchen.com/recipes/slow-cooker-scalloped-potatoes-50447,265,245,"Layered potatoes and onion are topped with a creamy mixture featuring Cheddar cheese soup, milk, Parmesan, Cheddar cheese and are then slow cooked to perfection. They're so good you'll never make scalloped potatoes any other way!",http://www.campbellskitchen.com/recipeimages/slow-cooker-scalloped-potatoes-large-50447.jpg,,
Cheddar Potato Casserole,24386,http://www.campbellskitchen.com/recipes/cheddar-potato-casserole-24386,40,30,"Savory mashed potatoes are laced with a cheddar cheese sauce, sour cream and green onion. Baked to a golden turn, this dish is a real crowd pleaser.",http://www.campbellskitchen.com/recipeimages/cheddar-potato-casserole-large-24386.jpg,,
Baked Macaroni & Cheese,24407,http://www.campbellskitchen.com/recipes/baked-macaroni-cheese-24407,40,20,"This extra-easy version of a classic casserole is homey, cheesy and topped with crunchy bread crumbs to make it even better.",http://www.campbellskitchen.com/recipeimages/baked-macaroni-cheese-large-24407.jpg,,
Baked Ziti,25342,http://www.campbellskitchen.com/recipes/baked-ziti-25342,55,30,"Short tube-shaped pasta tossed with seasoned tomato sauce, mozzarella and Parmesan cheeses is baked in a casserole until bubbling.",http://www.campbellskitchen.com/recipeimages/baked-ziti-large-25342.jpg,,
3-Cheese Pasta Bake,25195,http://www.campbellskitchen.com/recipes/3-cheese-pasta-bake-25195,40,20,This mouthwatering version of baked macaroni and cheese is ready in just 40 minutes and features our secret ingredient cream of mushroom soup. Try it as a side dish too!,http://www.campbellskitchen.com/recipeimages/3-cheese-pasta-bake-large-25195.jpg,,
Miracle Lasagna,24606,http://www.campbellskitchen.com/recipes/miracle-lasagna-24606,75,65,"Traditional, full-flavored lasagna is layered together in just minutes with pasta sauce, noodles, and three cheeses.",http://www.campbellskitchen.com/recipeimages/miracle-lasagna-large-24606.jpg,,
Broccoli Cheddar Rice,62073,http://www.campbellskitchen.com/recipes/broccoli-cheddar-rice-62073,60,35,"Looking for a tasty side to feed a hungry crowd? Sawtayed broccoli, onion and garlic combine with Cheddar cheese soup, milk, brown rice and Parmesan cheese. Baked until hot and bubbling, this fabulous casserole is chock full of flavor and ready in just 1 hour!",http://www.campbellskitchen.com/recipeimages/broccoli-cheddar-rice-large-62073.jpg,,
Ranchero Macaroni Bake,24456,http://www.campbellskitchen.com/recipes/ranchero-macaroni-bake-24456,45,25,"This tasty twist on classic mac and cheese uses picante sauce and crushed tortilla chips to kick-up the flavor, and make a good thing even better!",http://www.campbellskitchen.com/recipeimages/ranchero-macaroni-bake-large-24456.jpg,,
Crowd-Pleasing Vegetable Casserole,24468,http://www.campbellskitchen.com/recipes/crowd-pleasing-vegetable-casserole-24468,35,25,Everyone will eat and enjoy their vegetables when this casserole is served. You can use your favorite frozen vegetable mixture to suit your family's tastes. And it's ready in under 45 minutes.,http://www.campbellskitchen.com/recipeimages/crowd-pleasing-vegetable-casserole-large-24468.jpg,,
Broccoli & Noodles Supreme,24415,http://www.campbellskitchen.com/recipes/broccoli-noodles-supreme-24415,35,25,"The trick to this simply delicious recipe is that the broccoli and noodles cook together...mixed with a creamy, cheesy sauce, this 35-minute dish is really good!",http://www.campbellskitchen.com/recipeimages/broccoli-noodles-supreme-large-24415.jpg,,
Creamy Poblano Mac & Cheese,61797,http://www.campbellskitchen.com/recipes/creamy-poblano-mac-cheese-61797,30,10,"Mac & cheese goes from ordinary to extraordinary with the addition of sawtayed fresh vegetables and creamy poblano & queso soup. This crowd pleasing casserole is incredibly good, easy to prepare and sure to earn rave reviews!",http://www.campbellskitchen.com/recipeimages/creamy-poblano-mac-cheese-large-61797.jpg,,
Quick Quesadillas,24378,http://www.campbellskitchen.com/recipes/quick-quesadillas-24738,25,15,"These quick cooking quesadillas are loaded with cheese, salsa and green onions and are perfect for those busy weeknights when you don't have a lot of time. They're easy, kid-friendly and just plain good!",http://www.campbellskitchen.com/recipeimages/quick-quesadillas-large-24738.jpg,,
Swiss Vegetable Casserole,27341,http://www.campbellskitchen.com/recipes/swiss-vegetable-casserole-27341,55,45,"Served hot and bubbly from the oven, this colorful and cheese-topped veggie casserole is good enough to steal the limelight from your favorite main dishes.",http://www.campbellskitchen.com/recipeimages/swiss-vegetable-casserole-large-27341.jpg,,
Vegetarian Chili,23886,http://www.campbellskitchen.com/recipes/vegetarian-chili-23886,50,30,"This quick-cooking stovetop chili, chock full of vegetables and two types of beans will fit the bill when you're looking for a meatless dish.",http://www.campbellskitchen.com/recipeimages/vegetarian-chili-large-23886.jpg,,
Chili Cheese Quesadillas,61907,http://www.campbellskitchen.com/recipes/chili-cheese-quesadillas-61907,30,20,Here is a quick and easy quesadilla recipe everyone will enjoy. Warm flour tortillas wrap around a filling of chili and Cheddar cheese and cook until golden. They are really good and perfect for those nights when you are in a pinch for time.,http://www.campbellskitchen.com/recipeimages/chili-cheese-quesadillas-large-61907.jpg,,
